[1, 20, 9, 8, 14, 15, 12, 10, 4, 3, 11, 2, 7, 5, 18, 19, 13, 6, 17, 16]

[1, 3, 13, 18, 6, 12, 14, 20, 15, 9, 17, 10, 19, 11, 7, 2, 16, 8, 4, 5]

[1, 20, 13, 16, 14, 15, 8, 5, 18, 19, 4, 3, 7, 10, 17, 9, 2, 6, 11, 12]

[1, 11, 12, 19, 16, 14, 17, 13, 15, 6, 10, 8, 9, 7, 4, 5, 18, 2, 3, 20]

[5, 1, 15, 17, 20, 10, 11, 9, 13, 19, 18, 8, 4, 14, 16, 2, 3, 6, 7, 12]

[1, 12, 13, 16, 15, 17, 9, 7, 4, 14, 19, 18, 6, 5, 2, 3, 10, 11, 8, 20]

[1, 9, 16, 12, 18, 15, 2, 6, 8, 14, 10, 19, 4, 7, 17, 3, 11, 20, 13, 5]

[20, 13, 18, 4, 19, 5, 3, 1, 15, 9, 6, 7, 8, 17, 14, 11, 12, 16, 10, 2]

[1, 10, 16, 15, 19, 14, 8, 13, 11, 9, 17, 12, 18, 6, 2, 4, 7, 5, 3, 20]

[1, 2, 9, 20, 6, 18, 4, 15, 10, 17, 12, 7, 14, 19, 13, 16, 8, 11, 3, 5]

[1, 15, 14, 20, 19, 13, 11, 12, 16, 2, 3, 4, 7, 6, 5, 8, 17, 10, 9, 18]

[4, 6, 9, 1, 2, 3, 13, 16, 12, 20, 8, 11, 15, 18, 5, 17, 10, 19, 7, 14]

[1, 6, 10, 13, 14, 11, 3, 12, 15, 8, 4, 9, 19, 5, 20, 17, 16, 2, 18, 7]

[1, 2, 3, 6, 10, 13, 17, 19, 11, 16, 20, 9, 4, 5, 8, 18, 7, 15, 12, 14]

[1, 10, 16, 17, 12, 9, 13, 15, 18, 8, 2, 3, 4, 5, 11, 14, 19, 20, 7, 6]

[1, 3, 4, 7, 10, 19, 16, 14, 5, 2, 11, 15, 6, 13, 18, 17, 9, 12, 15, 20]

[16, 10, 9, 13, 15, 17, 1, 2, 14, 8, 11, 5, 7, 12, 6, 3, 4, 18, 19, 20]

[1, 7, 13, 19, 18, 10, 5, 15, 14, 16, 2, 3, 4, 6, 11, 9, 12, 8, 17, 20]

[1, 11, 16, 15, 19, 9, 14, 13, 18, 10, 12, 17, 3, 4, 8, 5, 6, 2, 7, 20]

[20, 17, 16, 19, 11, 1, 12, 15, 8, 14, 18, 13, 2, 3, 9, 6, 4, 10, 5, 7]

[1, 2, 9, 13, 18, 17, 10, 11, 15, 14, 19, 20, 16, 8, 7, 3, 4, 5, 12, 6]

[12, 5, 4, 19, 1, 9, 2, 11, 17, 3, 8, 16, 7, 15, 20, 6, 10, 18, 13, 14]

[16, 19, 14, 13, 10, 9, 1, 2, 11, 17, 5, 18, 12, 8, 6, 15, 3, 4, 7, 20]

[1, 5, 11, 16, 2, 12, 10, 20, 4, 3, 9, 15, 19, 18, 13, 7, 6, 14, 17, 8]

[1, 3, 2, 10, 18, 19, 15, 17, 16, 11, 9, 8, 14, 13, 12, 6, 5, 7, 4, 20]

[1, 3, 4, 7, 17, 14, 20, 5, 2, 6, 11, 10, 13, 15, 9, 18, 16, 8, 12, 19]

[1, 15, 10, 9, 13, 16, 12, 5, 11, 14, 20, 19, 7, 17, 8, 3, 2, 18, 4, 6]

[19, 17, 13, 10, 1, 18, 14, 15, 16, 2, 3, 4, 11, 9, 12, 8, 5, 6, 7, 20]

[2, 10, 19, 9, 11, 12, 14, 15, 18, 13, 1, 16, 3, 5, 4, 7, 6, 17, 8, 20]

[1, 12, 14, 11, 13, 18, 19, 4, 8, 17, 2, 9, 5, 10, 3, 15, 20, 16, 6, 7]

[4, 8, 19, 11, 2, 1, 13, 16, 12, 18, 5, 14, 10, 9, 3, 15, 17, 7, 6, 20]

[1, 2, 13, 9, 18, 16, 17, 14, 19, 3, 8, 12, 15, 20, 4, 10, 5, 11, 6, 7]

[2, 5, 1, 14, 19, 17, 13, 3, 4, 15, 12, 9, 18, 20, 11, 16, 8, 7, 6, 10]

[19, 16, 8, 10, 7, 1, 11, 12, 2, 3, 4, 5, 9, 14, 13, 15, 20, 17, 18, 6]

[11, 1, 9, 6, 7, 10, 12, 3, 5, 14, 13, 15, 16, 2, 4, 17, 18, 8, 19, 20]

[1, 3, 5, 6, 7, 10, 12, 18, 2, 11, 4, 9, 15, 13, 14, 16, 17, 19, 8, 20]

[1, 10, 9, 13, 3, 15, 14, 12, 2, 6, 5, 4, 11, 16, 8, 7, 17, 18, 19, 20]

[1, 2, 3, 12, 11, 13, 19, 15, 14, 18, 10, 17, 16, 4, 5, 8, 7, 6, 9, 20]

